epoch   0 | loss 3.1308 | train-acc 0.470 | val top1 0.855 top5 0.957 | 72s
epoch   1 | loss 0.6860 | train-acc 0.878 | val top1 0.925 top5 0.974 | 60s
epoch   2 | loss 0.4288 | train-acc 0.929 | val top1 0.950 top5 0.982 | 60s
epoch   3 | loss 0.3307 | train-acc 0.947 | val top1 0.948 top5 0.981 | 60s
epoch   4 | loss 0.2827 | train-acc 0.955 | val top1 0.953 top5 0.981 | 60s
epoch   5 | loss 0.2601 | train-acc 0.959 | val top1 0.944 top5 0.979 | 59s
epoch   6 | loss 0.2404 | train-acc 0.962 | val top1 0.954 top5 0.982 | 60s
epoch   7 | loss 0.2162 | train-acc 0.966 | val top1 0.960 top5 0.983 | 60s
epoch   8 | loss 0.2114 | train-acc 0.967 | val top1 0.958 top5 0.983 | 60s
epoch   9 | loss 0.2055 | train-acc 0.968 | val top1 0.948 top5 0.979 | 60s
epoch  10 | loss 0.2026 | train-acc 0.969 | val top1 0.953 top5 0.980 | 61s
epoch  11 | loss 0.2078 | train-acc 0.967 | val top1 0.903 top5 0.962 | 59s
epoch  12 | loss 0.2613 | train-acc 0.956 | val top1 0.918 top5 0.973 | 63s
epoch  13 | loss 0.2886 | train-acc 0.950 | val top1 0.932 top5 0.976 | 61s
epoch  14 | loss 0.2355 | train-acc 0.961 | val top1 0.943 top5 0.979 | 59s
epoch  15 | loss 0.2084 | train-acc 0.966 | val top1 0.951 top5 0.979 | 58s
epoch  16 | loss 0.2026 | train-acc 0.968 | val top1 0.958 top5 0.985 | 60s
epoch  17 | loss 0.1950 | train-acc 0.969 | val top1 0.964 top5 0.983 | 59s
epoch  18 | loss 0.1932 | train-acc 0.969 | val top1 0.968 top5 0.984 | 60s
epoch  19 | loss 0.1887 | train-acc 0.970 | val top1 0.971 top5 0.986 | 59s
epoch  20 | loss 0.1883 | train-acc 0.970 | val top1 0.972 top5 0.985 | 61s
epoch  21 | loss 0.1876 | train-acc 0.970 | val top1 0.970 top5 0.985 | 59s
epoch  22 | loss 0.1869 | train-acc 0.970 | val top1 0.970 top5 0.986 | 60s
epoch  23 | loss 0.1857 | train-acc 0.970 | val top1 0.971 top5 0.986 | 60s
epoch  24 | loss 0.1852 | train-acc 0.970 | val top1 0.972 top5 0.986 | 61s
epoch  25 | loss 0.1852 | train-acc 0.970 | val top1 0.972 top5 0.987 | 60s
epoch  26 | loss 0.1849 | train-acc 0.970 | val top1 0.971 top5 0.986 | 60s
epoch  27 | loss 0.1840 | train-acc 0.970 | val top1 0.972 top5 0.987 | 60s
epoch  28 | loss 0.1853 | train-acc 0.970 | val top1 0.970 top5 0.985 | 61s
epoch  29 | loss 0.1851 | train-acc 0.970 | val top1 0.971 top5 0.986 | 60s
epoch  30 | loss 0.1847 | train-acc 0.970 | val top1 0.971 top5 0.987 | 63s
epoch  31 | loss 0.1840 | train-acc 0.970 | val top1 0.972 top5 0.986 | 63s
epoch  32 | loss 0.1833 | train-acc 0.971 | val top1 0.971 top5 0.987 | 60s
epoch  33 | loss 0.1837 | train-acc 0.971 | val top1 0.972 top5 0.986 | 60s
epoch  34 | loss 0.1835 | train-acc 0.970 | val top1 0.971 top5 0.987 | 60s
epoch  35 | loss 0.1840 | train-acc 0.970 | val top1 0.972 top5 0.986 | 60s
epoch  36 | loss 0.1827 | train-acc 0.971 | val top1 0.971 top5 0.986 | 60s
epoch  37 | loss 0.1830 | train-acc 0.971 | val top1 0.972 top5 0.986 | 59s
epoch  38 | loss 0.1824 | train-acc 0.971 | val top1 0.972 top5 0.986 | 61s
epoch  39 | loss 0.1831 | train-acc 0.971 | val top1 0.972 top5 0.986 | 60s
epoch  40 | loss 0.1829 | train-acc 0.970 | val top1 0.972 top5 0.986 | 59s
epoch  41 | loss 0.1832 | train-acc 0.970 | val top1 0.972 top5 0.986 | 61s
epoch  42 | loss 0.1822 | train-acc 0.971 | val top1 0.972 top5 0.986 | 60s
epoch  43 | loss 0.1822 | train-acc 0.971 | val top1 0.971 top5 0.986 | 60s
epoch  44 | loss 0.1823 | train-acc 0.971 | val top1 0.972 top5 0.986 | 59s
epoch  45 | loss 0.1821 | train-acc 0.971 | val top1 0.972 top5 0.986 | 61s
epoch  46 | loss 0.1821 | train-acc 0.970 | val top1 0.972 top5 0.986 | 60s
epoch  47 | loss 0.1814 | train-acc 0.971 | val top1 0.972 top5 0.986 | 60s
epoch  48 | loss 0.1817 | train-acc 0.971 | val top1 0.973 top5 0.986 | 63s
epoch  49 | loss 0.1816 | train-acc 0.971 | val top1 0.973 top5 0.986 | 64s
epoch  50 | loss 0.1814 | train-acc 0.971 | val top1 0.973 top5 0.987 | 60s
epoch  51 | loss 0.1813 | train-acc 0.971 | val top1 0.972 top5 0.986 | 60s
epoch  52 | loss 0.1818 | train-acc 0.971 | val top1 0.973 top5 0.986 | 60s
epoch  53 | loss 0.1811 | train-acc 0.971 | val top1 0.973 top5 0.987 | 61s
epoch  54 | loss 0.1812 | train-acc 0.971 | val top1 0.973 top5 0.986 | 60s
