epoch   0 | loss 3.3812 | train-acc 0.425 | val top1 0.817 top5 0.945 | 151s
epoch   1 | loss 0.8749 | train-acc 0.837 | val top1 0.915 top5 0.974 | 50s
epoch   2 | loss 0.5358 | train-acc 0.906 | val top1 0.936 top5 0.978 | 52s
epoch   3 | loss 0.3960 | train-acc 0.936 | val top1 0.940 top5 0.980 | 50s
epoch   4 | loss 0.3257 | train-acc 0.949 | val top1 0.948 top5 0.982 | 51s
epoch   5 | loss 0.2846 | train-acc 0.956 | val top1 0.952 top5 0.981 | 50s
epoch   6 | loss 0.2559 | train-acc 0.960 | val top1 0.954 top5 0.982 | 50s
epoch   7 | loss 0.2377 | train-acc 0.964 | val top1 0.958 top5 0.984 | 51s
epoch   8 | loss 0.2247 | train-acc 0.966 | val top1 0.961 top5 0.984 | 51s
epoch   9 | loss 0.2191 | train-acc 0.966 | val top1 0.963 top5 0.984 | 52s
epoch  10 | loss 0.2167 | train-acc 0.967 | val top1 0.963 top5 0.984 | 50s
epoch  11 | loss 0.2147 | train-acc 0.967 | val top1 0.964 top5 0.985 | 51s
epoch  12 | loss 0.2195 | train-acc 0.966 | val top1 0.940 top5 0.981 | 50s
epoch  13 | loss 0.3432 | train-acc 0.937 | val top1 0.876 top5 0.960 | 52s
epoch  14 | loss 0.4559 | train-acc 0.910 | val top1 0.905 top5 0.968 | 53s
epoch  15 | loss 0.2823 | train-acc 0.953 | val top1 0.949 top5 0.982 | 50s
epoch  16 | loss 0.2303 | train-acc 0.964 | val top1 0.955 top5 0.984 | 52s
epoch  17 | loss 0.2180 | train-acc 0.966 | val top1 0.962 top5 0.984 | 51s
epoch  18 | loss 0.2139 | train-acc 0.966 | val top1 0.965 top5 0.984 | 52s
epoch  19 | loss 0.2110 | train-acc 0.967 | val top1 0.967 top5 0.985 | 50s
epoch  20 | loss 0.2104 | train-acc 0.967 | val top1 0.966 top5 0.985 | 50s
epoch  21 | loss 0.2092 | train-acc 0.967 | val top1 0.966 top5 0.985 | 52s
epoch  22 | loss 0.2092 | train-acc 0.967 | val top1 0.966 top5 0.985 | 51s
epoch  23 | loss 0.2089 | train-acc 0.967 | val top1 0.965 top5 0.985 | 55s
epoch  24 | loss 0.2090 | train-acc 0.967 | val top1 0.964 top5 0.985 | 51s
epoch  25 | loss 0.2084 | train-acc 0.967 | val top1 0.965 top5 0.985 | 53s
epoch  26 | loss 0.2076 | train-acc 0.967 | val top1 0.966 top5 0.986 | 51s
epoch  27 | loss 0.2070 | train-acc 0.967 | val top1 0.966 top5 0.985 | 52s
epoch  28 | loss 0.2071 | train-acc 0.967 | val top1 0.966 top5 0.985 | 51s
epoch  29 | loss 0.2073 | train-acc 0.967 | val top1 0.965 top5 0.985 | 51s
epoch  30 | loss 0.2070 | train-acc 0.967 | val top1 0.966 top5 0.986 | 53s
epoch  31 | loss 0.2065 | train-acc 0.967 | val top1 0.967 top5 0.986 | 53s
