epoch   0 | loss 3.1597 | train-acc 0.466 | val top1 0.859 top5 0.952 | 290s
epoch   1 | loss 0.7540 | train-acc 0.863 | val top1 0.877 top5 0.960 | 50s
epoch   2 | loss 0.4588 | train-acc 0.922 | val top1 0.936 top5 0.977 | 53s
epoch   3 | loss 0.3447 | train-acc 0.945 | val top1 0.949 top5 0.983 | 50s
epoch   4 | loss 0.2862 | train-acc 0.955 | val top1 0.943 top5 0.978 | 52s
epoch   5 | loss 0.2527 | train-acc 0.961 | val top1 0.957 top5 0.980 | 51s
epoch   6 | loss 0.2305 | train-acc 0.965 | val top1 0.962 top5 0.982 | 55s
epoch   7 | loss 0.2203 | train-acc 0.966 | val top1 0.957 top5 0.982 | 54s
epoch   8 | loss 0.2181 | train-acc 0.966 | val top1 0.945 top5 0.980 | 52s
epoch   9 | loss 0.2265 | train-acc 0.965 | val top1 0.935 top5 0.976 | 51s
epoch  10 | loss 0.2456 | train-acc 0.961 | val top1 0.925 top5 0.973 | 49s
epoch  11 | loss 0.2708 | train-acc 0.956 | val top1 0.927 top5 0.974 | 51s
epoch  12 | loss 0.2448 | train-acc 0.962 | val top1 0.951 top5 0.981 | 50s
epoch  13 | loss 0.2270 | train-acc 0.964 | val top1 0.952 top5 0.981 | 52s
epoch  14 | loss 0.2137 | train-acc 0.966 | val top1 0.959 top5 0.983 | 50s
epoch  15 | loss 0.2088 | train-acc 0.967 | val top1 0.952 top5 0.982 | 50s
epoch  16 | loss 0.2129 | train-acc 0.966 | val top1 0.951 top5 0.979 | 51s
epoch  17 | loss 0.2156 | train-acc 0.966 | val top1 0.947 top5 0.979 | 50s
epoch  18 | loss 0.2124 | train-acc 0.966 | val top1 0.954 top5 0.979 | 51s
epoch  19 | loss 0.2067 | train-acc 0.967 | val top1 0.958 top5 0.983 | 49s
epoch  20 | loss 0.2073 | train-acc 0.967 | val top1 0.960 top5 0.982 | 50s
epoch  21 | loss 0.2049 | train-acc 0.967 | val top1 0.957 top5 0.980 | 49s
epoch  22 | loss 0.2015 | train-acc 0.968 | val top1 0.956 top5 0.981 | 49s
epoch  23 | loss 0.2008 | train-acc 0.968 | val top1 0.959 top5 0.981 | 51s
epoch  24 | loss 0.2019 | train-acc 0.968 | val top1 0.966 top5 0.983 | 50s
epoch  25 | loss 0.1973 | train-acc 0.969 | val top1 0.964 top5 0.984 | 51s
epoch  26 | loss 0.1965 | train-acc 0.969 | val top1 0.965 top5 0.983 | 50s
epoch  27 | loss 0.2009 | train-acc 0.968 | val top1 0.958 top5 0.981 | 50s
epoch  28 | loss 0.2235 | train-acc 0.964 | val top1 0.929 top5 0.970 | 50s
epoch  29 | loss 0.2603 | train-acc 0.956 | val top1 0.939 top5 0.977 | 50s
epoch  30 | loss 0.2334 | train-acc 0.961 | val top1 0.954 top5 0.980 | 51s
epoch  31 | loss 0.2069 | train-acc 0.967 | val top1 0.962 top5 0.981 | 50s
epoch  32 | loss 0.1989 | train-acc 0.968 | val top1 0.962 top5 0.982 | 51s
epoch  33 | loss 0.1969 | train-acc 0.969 | val top1 0.959 top5 0.981 | 49s
epoch  34 | loss 0.1949 | train-acc 0.969 | val top1 0.960 top5 0.982 | 49s
epoch  35 | loss 0.1935 | train-acc 0.969 | val top1 0.967 top5 0.983 | 53s
epoch  36 | loss 0.1915 | train-acc 0.969 | val top1 0.969 top5 0.984 | 49s
epoch  37 | loss 0.1911 | train-acc 0.969 | val top1 0.969 top5 0.984 | 51s
epoch  38 | loss 0.1911 | train-acc 0.969 | val top1 0.969 top5 0.985 | 49s
epoch  39 | loss 0.1909 | train-acc 0.969 | val top1 0.971 top5 0.985 | 50s
epoch  40 | loss 0.1913 | train-acc 0.969 | val top1 0.971 top5 0.985 | 50s
epoch  41 | loss 0.1912 | train-acc 0.969 | val top1 0.971 top5 0.985 | 49s
epoch  42 | loss 0.1897 | train-acc 0.970 | val top1 0.971 top5 0.985 | 50s
epoch  43 | loss 0.1907 | train-acc 0.969 | val top1 0.971 top5 0.985 | 49s
epoch  44 | loss 0.1905 | train-acc 0.969 | val top1 0.971 top5 0.985 | 50s
epoch  45 | loss 0.1900 | train-acc 0.969 | val top1 0.971 top5 0.985 | 49s
epoch  46 | loss 0.1901 | train-acc 0.969 | val top1 0.971 top5 0.984 | 49s
epoch  47 | loss 0.1893 | train-acc 0.969 | val top1 0.971 top5 0.985 | 51s
epoch  48 | loss 0.1898 | train-acc 0.969 | val top1 0.971 top5 0.985 | 49s
epoch  49 | loss 0.1898 | train-acc 0.969 | val top1 0.971 top5 0.985 | 49s
