epoch   0 | loss 2.9826 | train-acc 0.495 | val top1 0.881 top5 0.963 | 165s
epoch   1 | loss 0.6427 | train-acc 0.884 | val top1 0.919 top5 0.974 | 52s
epoch   2 | loss 0.4106 | train-acc 0.932 | val top1 0.936 top5 0.979 | 51s
epoch   3 | loss 0.3188 | train-acc 0.949 | val top1 0.947 top5 0.981 | 52s
epoch   4 | loss 0.2712 | train-acc 0.957 | val top1 0.950 top5 0.981 | 52s
epoch   5 | loss 0.2408 | train-acc 0.962 | val top1 0.951 top5 0.981 | 52s
epoch   6 | loss 0.2253 | train-acc 0.964 | val top1 0.953 top5 0.982 | 52s
epoch   7 | loss 0.2153 | train-acc 0.966 | val top1 0.945 top5 0.980 | 53s
epoch   8 | loss 0.2091 | train-acc 0.968 | val top1 0.949 top5 0.981 | 51s
epoch   9 | loss 0.2032 | train-acc 0.968 | val top1 0.939 top5 0.977 | 53s
epoch  10 | loss 0.2077 | train-acc 0.967 | val top1 0.938 top5 0.976 | 51s
epoch  11 | loss 0.2196 | train-acc 0.965 | val top1 0.944 top5 0.976 | 53s
epoch  12 | loss 0.2280 | train-acc 0.963 | val top1 0.941 top5 0.975 | 52s
epoch  13 | loss 0.2152 | train-acc 0.966 | val top1 0.957 top5 0.983 | 52s
epoch  14 | loss 0.1994 | train-acc 0.968 | val top1 0.953 top5 0.981 | 53s
epoch  15 | loss 0.1981 | train-acc 0.968 | val top1 0.950 top5 0.980 | 52s
epoch  16 | loss 0.1985 | train-acc 0.968 | val top1 0.949 top5 0.979 | 53s
epoch  17 | loss 0.1918 | train-acc 0.969 | val top1 0.954 top5 0.982 | 51s
epoch  18 | loss 0.1878 | train-acc 0.970 | val top1 0.957 top5 0.982 | 51s
epoch  19 | loss 0.1923 | train-acc 0.969 | val top1 0.944 top5 0.981 | 52s
epoch  20 | loss 0.1965 | train-acc 0.968 | val top1 0.948 top5 0.977 | 51s
epoch  21 | loss 0.1947 | train-acc 0.969 | val top1 0.954 top5 0.980 | 53s
epoch  22 | loss 0.2007 | train-acc 0.967 | val top1 0.949 top5 0.976 | 51s
epoch  23 | loss 0.1992 | train-acc 0.968 | val top1 0.950 top5 0.980 | 52s
epoch  24 | loss 0.1916 | train-acc 0.969 | val top1 0.960 top5 0.983 | 51s
epoch  25 | loss 0.1875 | train-acc 0.970 | val top1 0.957 top5 0.979 | 53s
epoch  26 | loss 0.1804 | train-acc 0.971 | val top1 0.961 top5 0.981 | 52s
epoch  27 | loss 0.1792 | train-acc 0.971 | val top1 0.964 top5 0.984 | 51s
epoch  28 | loss 0.1779 | train-acc 0.972 | val top1 0.967 top5 0.984 | 52s
epoch  29 | loss 0.1764 | train-acc 0.972 | val top1 0.968 top5 0.984 | 51s
epoch  30 | loss 0.1776 | train-acc 0.971 | val top1 0.966 top5 0.983 | 52s
epoch  31 | loss 0.1816 | train-acc 0.971 | val top1 0.957 top5 0.981 | 51s
epoch  32 | loss 0.1814 | train-acc 0.971 | val top1 0.954 top5 0.981 | 54s
epoch  33 | loss 0.1887 | train-acc 0.969 | val top1 0.944 top5 0.979 | 51s
epoch  34 | loss 0.1915 | train-acc 0.969 | val top1 0.955 top5 0.981 | 53s
epoch  35 | loss 0.2056 | train-acc 0.966 | val top1 0.948 top5 0.978 | 56s
epoch  36 | loss 0.1980 | train-acc 0.967 | val top1 0.956 top5 0.980 | 53s
epoch  37 | loss 0.1870 | train-acc 0.969 | val top1 0.958 top5 0.981 | 54s
epoch  38 | loss 0.1785 | train-acc 0.971 | val top1 0.966 top5 0.983 | 53s
epoch  39 | loss 0.1776 | train-acc 0.971 | val top1 0.966 top5 0.982 | 53s
epoch  40 | loss 0.1793 | train-acc 0.971 | val top1 0.962 top5 0.983 | 51s
epoch  41 | loss 0.1769 | train-acc 0.971 | val top1 0.961 top5 0.980 | 51s
epoch  42 | loss 0.1776 | train-acc 0.971 | val top1 0.964 top5 0.982 | 52s
epoch  43 | loss 0.1763 | train-acc 0.972 | val top1 0.966 top5 0.983 | 54s
epoch  44 | loss 0.1747 | train-acc 0.972 | val top1 0.970 top5 0.984 | 55s
epoch  45 | loss 0.1740 | train-acc 0.972 | val top1 0.970 top5 0.985 | 51s
epoch  46 | loss 0.1733 | train-acc 0.972 | val top1 0.971 top5 0.984 | 53s
epoch  47 | loss 0.1736 | train-acc 0.972 | val top1 0.971 top5 0.985 | 51s
epoch  48 | loss 0.1735 | train-acc 0.972 | val top1 0.972 top5 0.985 | 53s
epoch  49 | loss 0.1733 | train-acc 0.972 | val top1 0.972 top5 0.985 | 52s
epoch  50 | loss 0.1732 | train-acc 0.972 | val top1 0.972 top5 0.985 | 53s
epoch  51 | loss 0.1734 | train-acc 0.972 | val top1 0.973 top5 0.985 | 52s
epoch  52 | loss 0.1732 | train-acc 0.972 | val top1 0.973 top5 0.985 | 52s
epoch  53 | loss 0.1729 | train-acc 0.972 | val top1 0.973 top5 0.985 | 56s
epoch  54 | loss 0.1730 | train-acc 0.972 | val top1 0.973 top5 0.985 | 52s
epoch  55 | loss 0.1729 | train-acc 0.972 | val top1 0.973 top5 0.985 | 53s
epoch  56 | loss 0.1728 | train-acc 0.972 | val top1 0.973 top5 0.984 | 52s
epoch  57 | loss 0.1725 | train-acc 0.972 | val top1 0.974 top5 0.985 | 54s
epoch  58 | loss 0.1724 | train-acc 0.972 | val top1 0.973 top5 0.985 | 52s
epoch  59 | loss 0.1721 | train-acc 0.972 | val top1 0.973 top5 0.985 | 53s
epoch  60 | loss 0.1724 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  61 | loss 0.1726 | train-acc 0.972 | val top1 0.974 top5 0.985 | 52s
epoch  62 | loss 0.1720 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  63 | loss 0.1721 | train-acc 0.972 | val top1 0.974 top5 0.985 | 52s
epoch  64 | loss 0.1721 | train-acc 0.972 | val top1 0.973 top5 0.985 | 53s
epoch  65 | loss 0.1726 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  66 | loss 0.1722 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  67 | loss 0.1724 | train-acc 0.972 | val top1 0.974 top5 0.985 | 51s
epoch  68 | loss 0.1720 | train-acc 0.972 | val top1 0.974 top5 0.985 | 54s
epoch  69 | loss 0.1719 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  70 | loss 0.1717 | train-acc 0.972 | val top1 0.974 top5 0.985 | 53s
epoch  71 | loss 0.1719 | train-acc 0.972 | val top1 0.974 top5 0.985 | 70s
epoch  72 | loss 0.1718 | train-acc 0.972 | val top1 0.974 top5 0.985 | 56s
