epoch   0 | loss 3.2749 | train-acc 0.453 | val top1 0.769 top5 0.931 | 127s
epoch   1 | loss 0.7532 | train-acc 0.865 | val top1 0.858 top5 0.960 | 53s
epoch   2 | loss 0.4565 | train-acc 0.924 | val top1 0.868 top5 0.964 | 52s
epoch   3 | loss 0.3410 | train-acc 0.947 | val top1 0.890 top5 0.972 | 51s
epoch   4 | loss 0.2818 | train-acc 0.956 | val top1 0.891 top5 0.970 | 54s
epoch   5 | loss 0.2521 | train-acc 0.961 | val top1 0.904 top5 0.975 | 51s
epoch   6 | loss 0.2258 | train-acc 0.965 | val top1 0.896 top5 0.969 | 51s
epoch   7 | loss 0.2109 | train-acc 0.967 | val top1 0.909 top5 0.973 | 53s
epoch   8 | loss 0.2071 | train-acc 0.968 | val top1 0.877 top5 0.962 | 52s
epoch   9 | loss 0.2153 | train-acc 0.967 | val top1 0.902 top5 0.974 | 52s
epoch  10 | loss 0.2057 | train-acc 0.968 | val top1 0.889 top5 0.971 | 51s
epoch  11 | loss 0.2110 | train-acc 0.967 | val top1 0.885 top5 0.968 | 53s
epoch  12 | loss 0.2429 | train-acc 0.961 | val top1 0.821 top5 0.948 | 50s
epoch  13 | loss 0.3078 | train-acc 0.947 | val top1 0.844 top5 0.955 | 51s
epoch  14 | loss 0.2802 | train-acc 0.952 | val top1 0.866 top5 0.964 | 51s
epoch  15 | loss 0.2238 | train-acc 0.964 | val top1 0.891 top5 0.971 | 51s
epoch  16 | loss 0.2037 | train-acc 0.968 | val top1 0.920 top5 0.976 | 52s
epoch  17 | loss 0.1984 | train-acc 0.969 | val top1 0.923 top5 0.977 | 52s
epoch  18 | loss 0.1951 | train-acc 0.969 | val top1 0.924 top5 0.979 | 53s
epoch  19 | loss 0.1944 | train-acc 0.969 | val top1 0.929 top5 0.979 | 52s
epoch  20 | loss 0.1931 | train-acc 0.969 | val top1 0.932 top5 0.979 | 52s
epoch  21 | loss 0.1918 | train-acc 0.969 | val top1 0.930 top5 0.979 | 53s
epoch  22 | loss 0.1926 | train-acc 0.969 | val top1 0.933 top5 0.980 | 51s
epoch  23 | loss 0.1912 | train-acc 0.969 | val top1 0.930 top5 0.980 | 53s
