epoch   0 | loss 3.0228 | train-acc 0.488 | val top1 0.789 top5 0.943 | 130s
epoch   1 | loss 0.6841 | train-acc 0.875 | val top1 0.846 top5 0.968 | 58s
epoch   2 | loss 0.4214 | train-acc 0.929 | val top1 0.869 top5 0.966 | 59s
epoch   3 | loss 0.3152 | train-acc 0.950 | val top1 0.867 top5 0.969 | 59s
epoch   4 | loss 0.2601 | train-acc 0.959 | val top1 0.879 top5 0.972 | 58s
epoch   5 | loss 0.2303 | train-acc 0.964 | val top1 0.868 top5 0.970 | 58s
epoch   6 | loss 0.2115 | train-acc 0.968 | val top1 0.894 top5 0.972 | 56s
epoch   7 | loss 0.1952 | train-acc 0.970 | val top1 0.900 top5 0.976 | 57s
epoch   8 | loss 0.1959 | train-acc 0.969 | val top1 0.890 top5 0.970 | 57s
epoch   9 | loss 0.2008 | train-acc 0.969 | val top1 0.874 top5 0.964 | 58s
epoch  10 | loss 0.2240 | train-acc 0.964 | val top1 0.844 top5 0.955 | 57s
epoch  11 | loss 0.2450 | train-acc 0.960 | val top1 0.843 top5 0.956 | 57s
epoch  12 | loss 0.2381 | train-acc 0.961 | val top1 0.874 top5 0.964 | 56s
epoch  13 | loss 0.2145 | train-acc 0.965 | val top1 0.866 top5 0.961 | 58s
epoch  14 | loss 0.2023 | train-acc 0.967 | val top1 0.880 top5 0.967 | 57s
epoch  15 | loss 0.1969 | train-acc 0.968 | val top1 0.869 top5 0.967 | 59s
epoch  16 | loss 0.1894 | train-acc 0.970 | val top1 0.896 top5 0.970 | 57s
epoch  17 | loss 0.1870 | train-acc 0.970 | val top1 0.883 top5 0.969 | 57s
epoch  18 | loss 0.1844 | train-acc 0.971 | val top1 0.894 top5 0.968 | 57s
epoch  19 | loss 0.1804 | train-acc 0.971 | val top1 0.902 top5 0.971 | 58s
epoch  20 | loss 0.1811 | train-acc 0.971 | val top1 0.906 top5 0.970 | 58s
epoch  21 | loss 0.1805 | train-acc 0.971 | val top1 0.896 top5 0.968 | 58s
epoch  22 | loss 0.1946 | train-acc 0.969 | val top1 0.856 top5 0.957 | 60s
