epoch   0 | loss 3.6687 | train-acc 0.377 | val top1 0.739 top5 0.919 | 81s
epoch   1 | loss 0.7427 | train-acc 0.860 | val top1 0.814 top5 0.955 | 55s
epoch   2 | loss 0.3929 | train-acc 0.932 | val top1 0.864 top5 0.958 | 53s
epoch   3 | loss 0.2542 | train-acc 0.960 | val top1 0.876 top5 0.967 | 53s
epoch   4 | loss 0.1974 | train-acc 0.969 | val top1 0.885 top5 0.968 | 54s
epoch   5 | loss 0.1631 | train-acc 0.974 | val top1 0.876 top5 0.970 | 53s
epoch   6 | loss 0.1467 | train-acc 0.977 | val top1 0.893 top5 0.973 | 53s
epoch   7 | loss 0.1290 | train-acc 0.979 | val top1 0.893 top5 0.971 | 54s
epoch   8 | loss 0.1227 | train-acc 0.981 | val top1 0.888 top5 0.972 | 53s
epoch   9 | loss 0.1169 | train-acc 0.981 | val top1 0.888 top5 0.968 | 54s
epoch  10 | loss 0.1247 | train-acc 0.980 | val top1 0.846 top5 0.956 | 53s
epoch  11 | loss 0.1924 | train-acc 0.966 | val top1 0.816 top5 0.938 | 52s
epoch  12 | loss 0.2201 | train-acc 0.959 | val top1 0.831 top5 0.950 | 51s
epoch  13 | loss 0.1548 | train-acc 0.974 | val top1 0.886 top5 0.970 | 52s
epoch  14 | loss 0.1167 | train-acc 0.981 | val top1 0.902 top5 0.972 | 51s
epoch  15 | loss 0.1072 | train-acc 0.983 | val top1 0.912 top5 0.975 | 53s
epoch  16 | loss 0.1012 | train-acc 0.984 | val top1 0.909 top5 0.972 | 52s
epoch  17 | loss 0.1027 | train-acc 0.983 | val top1 0.900 top5 0.971 | 51s
epoch  18 | loss 0.1074 | train-acc 0.983 | val top1 0.901 top5 0.969 | 52s
epoch  19 | loss 0.1065 | train-acc 0.983 | val top1 0.895 top5 0.970 | 51s
epoch  20 | loss 0.1044 | train-acc 0.983 | val top1 0.877 top5 0.964 | 52s
epoch  21 | loss 0.1068 | train-acc 0.983 | val top1 0.869 top5 0.966 | 52s
epoch  22 | loss 0.1235 | train-acc 0.979 | val top1 0.824 top5 0.946 | 51s
epoch  23 | loss 0.1500 | train-acc 0.973 | val top1 0.856 top5 0.949 | 53s
epoch  24 | loss 0.1332 | train-acc 0.977 | val top1 0.867 top5 0.964 | 52s
epoch  25 | loss 0.1160 | train-acc 0.981 | val top1 0.893 top5 0.969 | 51s
epoch  26 | loss 0.1027 | train-acc 0.983 | val top1 0.911 top5 0.974 | 52s
epoch  27 | loss 0.0991 | train-acc 0.984 | val top1 0.914 top5 0.976 | 53s
epoch  28 | loss 0.0984 | train-acc 0.984 | val top1 0.918 top5 0.976 | 51s
epoch  29 | loss 0.0963 | train-acc 0.984 | val top1 0.917 top5 0.977 | 51s
epoch  30 | loss 0.0958 | train-acc 0.984 | val top1 0.917 top5 0.977 | 52s
epoch  31 | loss 0.0943 | train-acc 0.985 | val top1 0.918 top5 0.978 | 52s
epoch  32 | loss 0.0955 | train-acc 0.984 | val top1 0.918 top5 0.977 | 52s
epoch  33 | loss 0.0951 | train-acc 0.984 | val top1 0.918 top5 0.978 | 51s
epoch  34 | loss 0.0949 | train-acc 0.984 | val top1 0.917 top5 0.978 | 52s
epoch  35 | loss 0.0943 | train-acc 0.984 | val top1 0.919 top5 0.978 | 51s
epoch  36 | loss 0.0947 | train-acc 0.984 | val top1 0.919 top5 0.978 | 52s
epoch  37 | loss 0.0948 | train-acc 0.984 | val top1 0.920 top5 0.978 | 51s
epoch  38 | loss 0.0945 | train-acc 0.984 | val top1 0.920 top5 0.977 | 51s
epoch  39 | loss 0.0941 | train-acc 0.984 | val top1 0.920 top5 0.978 | 52s
epoch  40 | loss 0.0939 | train-acc 0.984 | val top1 0.919 top5 0.978 | 51s
epoch  41 | loss 0.0946 | train-acc 0.984 | val top1 0.920 top5 0.978 | 51s
epoch  42 | loss 0.0937 | train-acc 0.984 | val top1 0.920 top5 0.978 | 51s
epoch  43 | loss 0.0943 | train-acc 0.984 | val top1 0.921 top5 0.978 | 51s
epoch  44 | loss 0.0936 | train-acc 0.984 | val top1 0.920 top5 0.978 | 52s
epoch   0 | loss 3.6687 | train-acc 0.377 | val top1 0.739 top5 0.919 | 89s
epoch   1 | loss 0.7427 | train-acc 0.860 | val top1 0.814 top5 0.955 | 74s
epoch   2 | loss 0.3929 | train-acc 0.932 | val top1 0.864 top5 0.958 | 75s
epoch   3 | loss 0.2542 | train-acc 0.960 | val top1 0.876 top5 0.967 | 75s
epoch   4 | loss 0.1974 | train-acc 0.969 | val top1 0.885 top5 0.968 | 76s
epoch   5 | loss 0.1631 | train-acc 0.974 | val top1 0.876 top5 0.970 | 73s
epoch   6 | loss 0.1467 | train-acc 0.977 | val top1 0.893 top5 0.973 | 74s
epoch   7 | loss 0.1290 | train-acc 0.979 | val top1 0.893 top5 0.971 | 72s
epoch   8 | loss 0.1227 | train-acc 0.981 | val top1 0.888 top5 0.972 | 71s
epoch   9 | loss 0.1169 | train-acc 0.981 | val top1 0.888 top5 0.968 | 73s
epoch  10 | loss 0.1247 | train-acc 0.980 | val top1 0.846 top5 0.956 | 76s
epoch  11 | loss 0.1924 | train-acc 0.966 | val top1 0.816 top5 0.938 | 83s
epoch  12 | loss 0.2201 | train-acc 0.959 | val top1 0.831 top5 0.950 | 77s
epoch  13 | loss 0.1548 | train-acc 0.974 | val top1 0.886 top5 0.970 | 73s
epoch  14 | loss 0.1167 | train-acc 0.981 | val top1 0.902 top5 0.972 | 75s
epoch  15 | loss 0.1072 | train-acc 0.983 | val top1 0.912 top5 0.975 | 73s
epoch  16 | loss 0.1012 | train-acc 0.984 | val top1 0.909 top5 0.972 | 75s
epoch  17 | loss 0.1027 | train-acc 0.983 | val top1 0.900 top5 0.971 | 73s
epoch  18 | loss 0.1074 | train-acc 0.983 | val top1 0.901 top5 0.969 | 72s
epoch  19 | loss 0.1065 | train-acc 0.983 | val top1 0.895 top5 0.970 | 72s
epoch  20 | loss 0.1044 | train-acc 0.983 | val top1 0.877 top5 0.964 | 73s
epoch  21 | loss 0.1068 | train-acc 0.983 | val top1 0.869 top5 0.966 | 74s
epoch  22 | loss 0.1235 | train-acc 0.979 | val top1 0.824 top5 0.946 | 71s
epoch  23 | loss 0.1500 | train-acc 0.973 | val top1 0.856 top5 0.949 | 75s
epoch  24 | loss 0.1332 | train-acc 0.977 | val top1 0.867 top5 0.964 | 76s
epoch  25 | loss 0.1160 | train-acc 0.981 | val top1 0.893 top5 0.969 | 73s
epoch  26 | loss 0.1027 | train-acc 0.983 | val top1 0.911 top5 0.974 | 71s
epoch  27 | loss 0.0991 | train-acc 0.984 | val top1 0.914 top5 0.976 | 74s
epoch  28 | loss 0.0984 | train-acc 0.984 | val top1 0.918 top5 0.976 | 70s
epoch  29 | loss 0.0963 | train-acc 0.984 | val top1 0.917 top5 0.977 | 63s
epoch  30 | loss 0.0958 | train-acc 0.984 | val top1 0.917 top5 0.977 | 63s
epoch  31 | loss 0.0943 | train-acc 0.985 | val top1 0.918 top5 0.978 | 63s
