epoch   0 | loss 4.5597 | train-acc 0.240 | val top1 0.715 top5 0.912 | 78s
epoch   1 | loss 1.7879 | train-acc 0.665 | val top1 0.811 top5 0.947 | 53s
epoch   2 | loss 1.1453 | train-acc 0.790 | val top1 0.852 top5 0.964 | 53s
epoch   3 | loss 0.8277 | train-acc 0.857 | val top1 0.863 top5 0.959 | 54s
epoch   4 | loss 0.6310 | train-acc 0.896 | val top1 0.871 top5 0.964 | 53s
epoch   5 | loss 0.5013 | train-acc 0.918 | val top1 0.881 top5 0.965 | 54s
epoch   6 | loss 0.4127 | train-acc 0.934 | val top1 0.865 top5 0.959 | 52s
epoch   7 | loss 0.3544 | train-acc 0.944 | val top1 0.888 top5 0.964 | 53s
epoch   8 | loss 0.3080 | train-acc 0.953 | val top1 0.889 top5 0.965 | 52s
epoch   9 | loss 0.2791 | train-acc 0.958 | val top1 0.892 top5 0.963 | 51s
epoch  10 | loss 0.2674 | train-acc 0.959 | val top1 0.897 top5 0.967 | 51s
epoch  11 | loss 0.2616 | train-acc 0.960 | val top1 0.897 top5 0.967 | 51s
epoch  12 | loss 0.2577 | train-acc 0.960 | val top1 0.901 top5 0.969 | 51s
epoch  13 | loss 0.2558 | train-acc 0.960 | val top1 0.899 top5 0.969 | 51s
epoch  14 | loss 0.2545 | train-acc 0.961 | val top1 0.901 top5 0.968 | 51s
epoch  15 | loss 0.2551 | train-acc 0.960 | val top1 0.902 top5 0.969 | 52s
epoch  16 | loss 0.2535 | train-acc 0.961 | val top1 0.903 top5 0.970 | 51s
epoch  17 | loss 0.2548 | train-acc 0.960 | val top1 0.898 top5 0.967 | 51s
epoch  18 | loss 0.2532 | train-acc 0.961 | val top1 0.897 top5 0.971 | 51s
epoch  19 | loss 0.2568 | train-acc 0.960 | val top1 0.887 top5 0.964 | 51s
epoch  20 | loss 0.2624 | train-acc 0.959 | val top1 0.845 top5 0.945 | 51s
epoch  21 | loss 0.7499 | train-acc 0.847 | val top1 0.769 top5 0.918 | 52s
epoch  22 | loss 0.6678 | train-acc 0.865 | val top1 0.834 top5 0.952 | 51s
epoch  23 | loss 0.3442 | train-acc 0.945 | val top1 0.865 top5 0.957 | 51s
epoch  24 | loss 0.2674 | train-acc 0.959 | val top1 0.891 top5 0.967 | 52s
epoch  25 | loss 0.2565 | train-acc 0.960 | val top1 0.899 top5 0.970 | 52s
epoch  26 | loss 0.2513 | train-acc 0.960 | val top1 0.901 top5 0.971 | 51s
epoch  27 | loss 0.2508 | train-acc 0.960 | val top1 0.904 top5 0.971 | 51s
epoch  28 | loss 0.2495 | train-acc 0.961 | val top1 0.904 top5 0.972 | 55s
epoch  29 | loss 0.2490 | train-acc 0.961 | val top1 0.906 top5 0.972 | 51s
epoch  30 | loss 0.2482 | train-acc 0.961 | val top1 0.905 top5 0.972 | 52s
epoch  31 | loss 0.2476 | train-acc 0.961 | val top1 0.907 top5 0.973 | 52s
epoch  32 | loss 0.2479 | train-acc 0.961 | val top1 0.907 top5 0.973 | 51s
epoch  33 | loss 0.2476 | train-acc 0.961 | val top1 0.907 top5 0.973 | 52s
epoch  34 | loss 0.2481 | train-acc 0.961 | val top1 0.907 top5 0.973 | 51s
epoch  35 | loss 0.2482 | train-acc 0.961 | val top1 0.908 top5 0.973 | 51s
epoch  36 | loss 0.2471 | train-acc 0.961 | val top1 0.907 top5 0.973 | 51s
epoch  37 | loss 0.2474 | train-acc 0.961 | val top1 0.908 top5 0.973 | 52s
epoch  38 | loss 0.2473 | train-acc 0.961 | val top1 0.909 top5 0.973 | 51s
epoch  39 | loss 0.2458 | train-acc 0.961 | val top1 0.909 top5 0.972 | 51s
epoch  40 | loss 0.2458 | train-acc 0.961 | val top1 0.908 top5 0.972 | 52s
epoch  41 | loss 0.2465 | train-acc 0.961 | val top1 0.908 top5 0.973 | 52s
epoch  42 | loss 0.2460 | train-acc 0.961 | val top1 0.909 top5 0.973 | 52s
epoch  43 | loss 0.2454 | train-acc 0.961 | val top1 0.909 top5 0.973 | 51s
epoch  44 | loss 0.2459 | train-acc 0.961 | val top1 0.909 top5 0.973 | 53s
epoch  45 | loss 0.2465 | train-acc 0.960 | val top1 0.908 top5 0.973 | 51s
epoch  46 | loss 0.2456 | train-acc 0.961 | val top1 0.909 top5 0.972 | 51s
epoch  47 | loss 0.2445 | train-acc 0.961 | val top1 0.909 top5 0.973 | 51s
epoch  48 | loss 0.2449 | train-acc 0.961 | val top1 0.909 top5 0.973 | 52s
epoch  49 | loss 0.2458 | train-acc 0.961 | val top1 0.909 top5 0.972 | 53s
epoch  50 | loss 0.2447 | train-acc 0.961 | val top1 0.909 top5 0.973 | 52s
